"name" "mbid"
"287" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"288" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"289" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"290" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"291" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"292" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"293" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"294" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"295" "Wang Chung" "47c8a452-4efb-45b4-a0d3-df506dbe42b2"
"296" "The Motels" "c433b570-1cb8-472a-bed7-4e24f94ea665"
"297" "Wang Chung" "47c8a452-4efb-45b4-a0d3-df506dbe42b2"
"298" "Divinyls" "01d8f486-874f-4914-a455-48446b7de51d"
"299" "The Pretenders" "75ffaf7d-46ee-4794-a405-9ec20c0c1696"
"300" "U2" "704acdbb-1415-4782-b0b6-0596b8c55e46"
"301" "Lone Justice" "778b34b7-736f-45d1-9486-2c9545ea6daa"
"302" "Robert Palmer" "96b1d906-0fda-406d-beb6-19c6758998df"
"303" "Theodis Ealey" "b049efcb-cd14-4aa4-aa2e-85b5f468f7fe"
"304" "Theodis Ealey" "b049efcb-cd14-4aa4-aa2e-85b5f468f7fe"
"305" "George Michael" "a752d086-a265-4968-a882-2f69e9bc8f3b"
"306" "Tori Amos" "c0b2500e-0cef-4130-869d-732b23ed9df5"
"307" "George Michael" "a752d086-a265-4968-a882-2f69e9bc8f3b"
"308" "Taylor Swift" "20244d07-534f-4eff-b4d4-930878889970"
"309" "Tori Amos" "c0b2500e-0cef-4130-869d-732b23ed9df5"
"310" "Taylor Swift" "20244d07-534f-4eff-b4d4-930878889970"
"311" "The Dead Weather" "334bd887-9044-4c38-aebd-4baab851efb4"
"312" "Rush" "059afdf5-77e8-4e51-90f5-453b623232ec"
"313" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"314" "Avenged Sevenfold" "24e1b53c-3085-4581-8472-0b0088d2508c"
"315" "Elvis Costello" "02f1d12d-b733-47f1-aba6-f4cc6d290eb7"
"316" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"317" "Ted Nugent" "454c6c1e-13bf-4850-bf91-0887adf5a8af"
"318" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"319" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"320" "Duran Duran" "1a1cd7f3-e5df-4eca-bae2-2757c9e656b5"
"321" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"322" "The Smashing Pumpkins" "2b42ec56-6785-4ed8-b3cb-190f750111bb"
"323" "Oasis" "39ab1aed-75e0-4140-bd47-540276886b60"
"324" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"325" "Bruce Springsteen" "70248960-cb53-4ea4-943a-edb18f7d336f"
"326" "Elton John" "334c2c2c-2ae3-4b69-8f38-167d07f83d25"
"327" "Elton John" "334c2c2c-2ae3-4b69-8f38-167d07f83d25"
"328" "Taylor Swift" "20244d07-534f-4eff-b4d4-930878889970"
"329" "Adele" "1de93a63-3a9f-443a-ba8a-a43b5fe0121e"
"330" "Taylor Swift" "20244d07-534f-4eff-b4d4-930878889970"
"331" "Under The Influence of Giants" "438cc576-8c12-415a-9ac9-fdedbcb18d5e"
"332" "Adele" "1de93a63-3a9f-443a-ba8a-a43b5fe0121e"
"333" "BarlowGirl" "30e5f6c5-089c-4378-9805-0dbd0e4d0ee3"
"334" "Under The Influence of Giants" "438cc576-8c12-415a-9ac9-fdedbcb18d5e"
"335" "Avenged Sevenfold" "24e1b53c-3085-4581-8472-0b0088d2508c"
"336" "BarlowGirl" "30e5f6c5-089c-4378-9805-0dbd0e4d0ee3"
"337" "Rush" "059afdf5-77e8-4e51-90f5-453b623232ec"
"338" "Avenged Sevenfold" "24e1b53c-3085-4581-8472-0b0088d2508c"
"339" "Rush" "059afdf5-77e8-4e51-90f5-453b623232ec"
"340" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"341" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"342" "Nine Inch Nails" "b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"343" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"344" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"345" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"346" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"347" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"348" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"349" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"350" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"351" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"352" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"353" "George Gershwin" "65744963-191a-44ef-a3c7-b693a808a158"
